count,create_date,location,weatherstation,temp,precip,canonical_location
3,2012-09-28,Miami,KMIA,81.4535714286,0.0,Miami
3,2012-09-28,Birmingham,KBHM,74.308333333299998,0.0,Birmingham
1,2012-09-28,San Antonio,KSSF,74.624489795900004,5.21,San Antonio
5,2012-09-28,Kansas City,KMKC,64.303846153799995,0.0,Kansas City
1,2012-09-28,san francisco,KSFO,56.948,0.0,San Francisco
12,2012-09-28,SF Bay Area,KSFO,56.948,0.0,San Francisco
2,2012-09-28,Portland OR,KPDX,69.658333333300007,0.0,Portland
7,2012-09-28,Minneapolis,KMIC,56.066666666700002,0.0,Minneapolis
6,2012-09-28,Berkeley,KOAK,55.117647058800003,0.0,Berkeley
3,2012-09-28,Santa Barbara,KSBA,63.975862069000001,0.0,Santa Barbara
2,2012-09-28,Redmond,KBFI,63.174999999999997,0.0,Seattle
5,2012-08-19,SF Bay Area,KSFO,57.340000000000003,0.0,San Francisco
5,2012-08-19,Kansas City,KMKC,72.775000000000006,0.0,Kansas City
4,2012-08-19,Washington,KDCA,73.031034482799996,0.55000000000000004,Washington DC
11,2012-08-22,Kansas City,KMKC,82.120833333299998,0.0,Kansas City
4,2012-08-22,Cambridge MA,KBOS,71.900000000000006,0.0,Boston
3,2012-08-22,Baltimore,KBWI,73.262500000000003,0.0,Baltimore
5,2012-08-20,Denver,KAPA,67.879166666700002,0.0,Denver
9,2012-08-20,Cambridge,KBOS,68.533333333300007,0.0,Boston
4,2012-08-20,Chicago IL,KMDW,67.467857142900002,0.73999999999999999,Chicago
4,2012-08-20,Indianapolis,KIND,69.408333333300007,0.0,Indianapolis
3,2012-08-20,Redmond,KBFI,67.315384615400006,0.0,Seattle
7,2012-08-20,Kansas City,KMKC,74.645833333300004,0.0,Kansas City
3,2012-08-20,Dallas,KDAL,80.174999999999997,0.0,Dallas
4,2012-08-20,Minneapolis,KMIC,62.320833333300001,0.0,Minneapolis
5,2012-08-22,Dallas,KDAL,78.3125,0.0,Dallas
2,2012-08-22,Waterloo,KALO,71.186956521699997,0.0,Waterloo
4,2012-08-24,Austin TX,KATT,81.866666666699999,0.0,Austin
7,2012-08-24,Portland,KPDX,63.662500000000001,0.0,Portland
5,2012-08-24,Dallas,KDAL,82.882758620700002,0.0,Dallas
5,2012-08-24,Austin,KATT,81.866666666699999,0.0,Austin
3,2012-08-24,Cambridge MA,KBOS,72.520833333300004,0.0,Boston
14,2012-08-19,Montreal,CWTA,66.922222222200006,0.0,Montreal
1,2012-08-19,San Antonio,KSSF,77.377777777800006,5.7599999999999998,San Antonio
4,2012-08-19,Edmonton,CXEC,70.732142857100001,0.0,Edmonton
7,2012-08-19,Washington DC,KDCA,73.031034482799996,0.55000000000000004,Washington DC
3,2012-08-20,Santa Barbara,KSBA,67.637500000000003,0.0,Santa Barbara
4,2012-08-20,nyc,KNYC,71.512500000000003,0.0,New York
3,2012-08-20,San Jose,KSJC,63.361538461499997,0.0,San Jose
